Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
06-12,105059,7538,,97521.0,25,1524.250334022343,693359.0,10726.0,7.175015943422268,84000025,USA,10059.611145617202,10.209501327825317
06-13,105395,7576,,97819.0,25,1529.125195883121,703596.0,10772.0,7.188196783528629,84000025,USA,10208.134838679069,10.22059870012809
06-14,105603,7624,,97979.0,25,1532.142967511222,712710.0,10802.0,7.219491870496102,84000025,USA,10340.36546665268,10.228876073596394
06-15,105690,7647,,98043.0,25,1533.4052085287449,717231.0,10817.0,7.235310814646608,84000025,USA,10405.958474011546,10.234648500331158
06-16,105885,7664,,98221.0,25,1536.2343694300894,723647.0,10867.0,7.238041271190442,84000025,USA,10499.045121924502,10.263021202247721
06-17,106151,7733,,98418.0,25,1540.0936350698723,732046.0,10925.0,7.284905464856666,84000025,USA,10620.902159926518,10.291942610055488
06-18,106422,7769,,98653.0,25,1544.0254432968688,741260.0,10985.0,7.3001822931348785,84000025,USA,10754.583639644408,10.32211384864032
06-19,106650,7799,,98851.0,25,1547.3333852738256,750807.0,11036.0,7.3127051101734635,84000025,USA,10893.096455670748,10.347866854195967
06-20,106936,7827,,99109.0,25,1551.4828212624645,764937.0,11076.0,7.31933118874841,84000025,USA,11098.101807137407,10.357597067404804
06-21,107061,7857,,99204.0,25,1553.2963859428135,773320.0,11085.0,7.338806848432203,84000025,USA,11219.726708860337,10.353910387536077
06-22,107210,7873,,99337.0,25,1555.4581550417895,780063.0,11094.0,7.3435313869974825,84000025,USA,11317.557641977088,10.347915306407984
06-23,107439,7889,,99550.0,25,1558.7806055361893,787642.0,11157.0,7.342771246940124,84000025,USA,11427.517695676013,10.3844972496021
06-24,107611,7937,,99674.0,25,1561.2760705363494,795072.0,11219.0,7.375640036799212,84000025,USA,11535.31598027596,10.425514120303689
06-25,107837,7962,,99875.0,25,1564.5549954784203,805456.0,11252.0,7.383365635171603,84000025,USA,11685.972425401918,10.434266531895359
06-26,108070,8012,,100058.0,25,1567.9354800425913,814085.0,11291.0,7.413713333950218,84000025,USA,11811.166422415776,10.44785786989914
06-27,108443,8040,,100403.0,25,1573.3471570487532,826342.0,11310.0,7.4140331787206195,84000025,USA,11988.997320712086,10.429442195439078
06-28,108667,8059,,100608.0,25,1576.5970649559383,835794.0,11319.0,7.416234919524786,84000025,USA,12126.13182758136,10.416225717099028
06-29,108768,8094,,100674.0,25,1578.0624252176606,842287.0,11345.0,7.44152691968226,84000025.0,USA,12220.335631337412,10.430457487496325
06-30,108882,8053,,100829.0,25,1579.7163962061386,848141.0,11337.0,7.3960801601733985,84000025,USA,12305.268492447518,10.412189342591065
07-01,108882,8053,,100829.0,25,1579.7163962061386,858435.0,11352.0,7.3960801601733985,84000025,USA,12454.619171003626,10.425965724362154
07-02,109338,8132,,101206.0,25,1586.3322801600518,866258.0,11392.0,7.437487424317255,84000025,USA,12568.119302958592,10.419067478827124
07-03,109628,8149,,101479.0,25,1590.539750218462,877780.0,11436.0,7.433319954756083,84000025,USA,12735.286440934447,10.431641551428466
07-04,109838,8172,93157.0,8509.0,25,1593.5865388814484,885767.0,11461.0,7.4400480707951715,84000025,USA,12851.165969750029,10.43445801999308
07-05,109974,8183,93157.0,8634.0,25,1595.5596972536682,891685.0,11463.0,7.440849655373088,84000025,USA,12937.027375976477,10.423372797206612
