Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
06-05,5277,64,4179.0,1034.0,46,596.5010246886088,53363.0,467.0,1.2128103088876256,84000046,USA,6032.041724551495,8.849725222664391
06-06,5367,65,4273.0,1029.0,46,606.6744361386702,55458.0,474.0,1.2111049003167504,84000046,USA,6268.856135527926,8.831749580771383
06-07,5438,65,4335.0,1038.0,46,614.7001273937191,57060.0,478.0,1.1952923869069512,84000046,USA,6449.942859339022,8.789996322177274
06-08,5471,65,4403.0,1003.0,46,618.4303782587415,57819.0,482.0,1.1880826174373973,84000046,USA,6535.738629234541,8.81008956315116
06-09,5523,68,4483.0,972.0,46,624.3083493187771,59159.0,487.0,1.2312149194278472,84000046,USA,6687.209421935458,8.81767155531414
06-10,5604,69,4573.0,962.0,46,633.4644196238324,60685.0,503.0,1.2312633832976445,84000046,USA,6859.705264966501,8.975731620271235
06-11,5665,73,4664.0,928,46,640.3597318288741,61744.0,514.0,1.2886142983230362,84000046,USA,6979.412406362227,9.073256840247133
06-12,5742,74,4755.0,913.0,46,649.0636505139269,63005.0,525.0,1.2887495646116336,84000046,USA,7121.953204568088,9.143155694879832
06-13,5833,75,4828.0,930.0,46,659.3500998689891,64513.0,531.0,1.2857877593005314,84000046,USA,7292.414365309119,9.103377335847762
06-14,5898,75,4899.0,924.0,46,666.6975636940335,65319.0,539.0,1.2716174974567651,84000046,USA,7383.52291673967,9.138691081722618
06-15,5928,75,4961.0,892.0,46,670.0887008440541,66395.0,544.0,1.2651821862348178,84000046,USA,7505.151702520407,9.176788124156543
06-16,5966,77,5069.0,820.0,46,674.3841412340802,67202.0,562.0,1.2906469996647671,84000046,USA,7596.373291855958,9.42004693261817
06-17,6050,78,5143.0,829.0,46,683.8793252541375,68988.0,570.0,1.2892561983471074,84000046,USA,7798.25899018718,9.421487603305783
06-18,6109,78,5221.0,810.0,46,690.5485616491777,70353.0,585.0,1.2768047143558685,84000046,USA,7952.555730513112,9.576035357669014
06-19,6158,81,5276.0,801.0,46,696.0874189942115,71193.0,589.0,1.3153621305618708,84000046,USA,8047.507570713687,9.564793764209158
06-20,6225,81,5335.0,809.0,46,703.6609586292572,71915.0,598.0,1.3012048192771084,84000046,USA,8129.120938124181,9.606425702811245
06-21,6297,81,5389.0,827.0,46,711.7996877893063,73026.0,608.0,1.2863268222963316,84000046,USA,8254.706050579942,9.655391456249008
06-22,6326,81,5437.0,808.0,46,715.0777870343263,73329.0,616.0,1.2804299715460006,84000046,USA,8288.956535795149,9.737590894720203
06-23,6353,83,5497.0,773.0,46,718.1298104693446,73986.0,624.0,1.3064693845427358,84000046,USA,8363.222439380597,9.822131276562256
06-24,6419,84,5554.0,781.0,46,725.5903121993898,75077.0,629.0,1.3086150490730644,84000046,USA,8486.546793736343,9.79903411746378
06-25,6479,87,5592.0,800.0,46,732.3725864994309,75854.0,632.0,1.3427998147862323,84000046,USA,8574.377245921874,9.754591757987344
06-26,6535,88,5652.0,795.0,46,738.7027091794691,77015.0,639.0,1.3465952563121653,84000046,USA,8705.614253627671,9.778117827084927
06-27,6626,91,5717.0,818.0,46,748.9891585345314,78100.0,645.0,1.3733776033806218,84000046,USA,8828.260380553409,9.734379716269244
06-28,6681,91,5752.0,838.0,46,755.2062433095689,78893.0,652.0,1.3620715461757222,84000046,USA,8917.89943921895,9.759018111061216
06-29,6716,91,5818.0,807.0,46,759.1625699845929,79457.0,657.0,1.3549731983323408,84000046.0,USA,8981.65281763934,9.782608695652174
06-30,6764,91,5872.0,801.0,46,764.5883894246257,80088.0,666.0,1.3453577764636309,84000046,USA,9052.979735694771,9.846244825547013
07-01,6826,93,5933.0,800.0,46,771.5967395346681,80943.0,674.0,1.3624377380603574,84000046,USA,9149.627144470356,9.874011133899797
07-02,6893,97,5982.0,814.0,46,779.170279169714,81941.0,683.0,1.4072247207311763,84000046,USA,9262.438973661036,9.908602930509213
07-03,6978,97,6049.0,832.0,46,788.7785010947722,82993.0,687.0,1.3900831183720264,84000046,USA,9381.354849721758,9.845227858985382
07-04,7028,97,6062.0,869.0,46,794.4303963448064,83830.0,689.0,1.3801935116676152,84000046,USA,9475.96757620733,9.803642572566876
07-05,7063,97,6063.0,903.0,46,798.3867230198304,84003.0,691.0,1.373354098824862,84000046,USA,9495.523133772447,9.783378167917316
07-06,7105,97,6063.0,945.0,46,803.134315029859,84303.0,692.0,1.3652357494722027,84000046,USA,9529.434505272653,9.739619985925405
07-07,7163,98,6190.0,875.0,46,809.6905135198987,85365.0,699.0,1.3681418400111685,84000046,USA,9649.48076038338,9.758481083344968
07-08,7242,98,6280.0,864.0,46,818.6205080149527,86226.0,709.0,1.3532173432753385,84000046,USA,9746.806396588969,9.790113228389947
07-09,7336,101,6331.0,904.0,46,829.246071085017,87310.0,718.0,1.3767720828789531,84000046,USA,9869.33948560971,9.787350054525627
07-10,7401,107,6408.0,886.0,46,836.5935349100613,88542.0,726.0,1.4457505742467234,84000046,USA,10008.60218457055,9.809485204702069
07-11,7454,109,6470.0,875.0,46,842.5845438750978,89606.0,738.0,1.4623021196672927,84000046,USA,10128.87451549128,9.900724443251944
07-12,7499,109,6522.0,868.0,46,847.6712496001284,90608.0,738.0,1.4535271369515936,84000046,USA,10242.138496301965,9.841312174956661
07-13,7524,109,6543.0,872.0,46,850.4971972251456,91378.0,742.0,1.4486975013290804,84000046,USA,10329.177683152491,9.861775651249337
07-14,7572,109,6599.0,864.0,46,855.9230166651784,92164.0,744.0,1.4395139989434758,84000046,USA,10418.02547648303,9.8256735340729
07-15,7652,111,6663.0,878.0,46,864.966049065233,93543.0,752.0,1.4506011500261369,84000046,USA,10573.904747478971,9.827496079456349
07-16,7694,115,6737.0,842.0,46,869.7136410752616,94036.0,757.0,1.494671172342085,84000046,USA,10629.632434644307,9.838835456199636
07-17,7789,116,6808.0,865.0,46,880.4522420503267,95973.0,763.0,1.4892797534985236,84000046,USA,10848.586856630634,9.795865964822186
07-18,7862,116,6891.0,855.0,46,888.7040091153766,97247.0,771.0,1.4754515390485883,84000046,USA,10992.597147601506,9.806664970745356
