Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
06-07,9332,489,1143.0,7700.0,11,1322.283134655522,54547.0,,5.240034290612946,84000011,USA,7728.9517944765075,
06-08,9389,491,1143.0,7755.0,11,1330.3596604458526,55766.0,,5.229523910959633,84000011,USA,7901.676091641645,
06-09,9474,495,1143.0,7836.0,11,1342.4036024138893,57152.0,,5.224825839138696,84000011,USA,8098.063192438105,
06-10,9537,499,1143.0,7895.0,11,1351.3302888137284,58192.0,,5.2322533291391435,84000011,USA,8245.424364752906,
06-11,9589,502,1143.0,7944,11,1358.6983474294686,59288.0,,5.235165293565544,84000011,USA,8400.720369423123,
06-12,9654,506,1143.0,8005.0,11,1367.9084206991438,61953.0,,5.241350735446448,84000011,USA,8778.333373479807,
06-13,9709,511,1143.0,8055.0,11,1375.7015596196381,63036.0,,5.2631578947368425,84000011,USA,8931.787363496087,
06-14,9767,515,1150.0,8102.0,11,1383.9197788448869,64530.0,,5.272857581652503,84000011,USA,9143.477355263698,
06-15,9799,515,1155.0,8129.0,11,1388.4539687622653,65846.0,,5.255638330441882,84000011,USA,9329.945915615892,
06-16,9818,520,1155.0,8143.0,11,1391.146144025709,67126.0,,5.2963943776736615,84000011,USA,9511.313512311031,
06-17,9847,523,1155.0,8169.0,11,1395.2552536383332,70086.0,,5.311262313394943,84000011,USA,9930.726079668551,
06-18,9903,527,1155.0,8221.0,11,1403.1900859937455,72199.0,,5.321619711198626,84000011,USA,10230.124307650454,
06-19,9952,530,1162.0,8260.0,11,1410.1330643047315,73791.0,,5.32556270096463,84000011,USA,10455.700256040036,
06-20,9984,531,1166.0,8287.0,11,1414.6672542221104,77953.0,,5.318509615384615,84000011,USA,11045.428332169084,
06-21,10020,533,1172.0,8315.0,11,1419.768217879161,79522.0,,5.3193612774451084,84000011,USA,11267.745331555552,
06-22,10058,535,1182.0,8341.0,11,1425.152568406048,82004.0,,5.319148936170213,84000011,USA,11619.428437022229,
06-23,10094,537,1182.0,8375.0,11,1430.2535320630986,83302.0,,5.319992074499703,84000011,USA,11803.346515545894,
06-24,10128,541,1182.0,8405.0,11,1435.0711088503135,84173.0,,5.341627172195894,84000011,USA,11926.761497359543,
06-25,10159,543,1182.0,8434.0,11,1439.463605332774,86731.0,,5.345014273058372,84000011,USA,12289.213303879993,
06-26,10185,546,1186.0,8453.0,11,1443.147634640644,88123.0,,5.360824742268041,84000011,USA,12486.450565285959,
06-27,10216,548,1194.0,8474.0,11,1447.5401311231046,89271.0,,5.3641346906812855,84000011,USA,12649.114628571917,
06-28,10248,550,1199.0,8499.0,11,1452.0743210404835,93132.0,,5.3669008587041365,84000011,USA,13196.192980790622,
06-29,10292,551,1200.0,8541.0,11,1458.3088321768787,95360.0,,5.353672755538282,84000011.0,USA,13511.885953788104,
06-30,10327,551,1270.0,8506.0,11,1463.2681023990115,97295.0,,5.335528226977825,84000011,USA,13786.062750354587,
07-01,10365,553,1451.0,8361.0,11,1468.6524529258984,100035.0,,5.33526290400386,84000011,USA,14174.302762030127,
07-02,10390,554,1465.0,8371.0,11,1472.1947887988504,101063.0,,5.332050048123195,84000011,USA,14319.963613125914,
07-03,10435,555,1497.0,8383.0,11,1478.5709933701642,102809.0,,5.318639195016772,84000011,USA,14567.360350492881,
07-04,10447,557,1523.0,8367.0,11,1480.2713145891812,104554.0,,5.331674164832009,84000011,USA,14814.61539442493,
07-05,10482,559,1542.0,8381.0,11,1485.230584811314,105993.0,,5.332951726769701,84000011,USA,15018.512247272049,
07-06,10515,561,1553.0,8401.0,11,1489.9064681636105,107650.0,,5.335235378031384,84000011,USA,15253.298268931303,
07-07,10569,561,1574.0,8434.0,11,1497.557913649187,110377.0,,5.307976156684644,84000011,USA,15639.696265952907,
07-08,10642,564,1625.0,8453.0,11,1507.9015343982064,114289.0,,5.299755685021612,84000011,USA,16194.000983352438,
07-09,10679,568,1662.0,8449.0,11,1513.1441914901754,115923.0,,5.3188500795954665,84000011,USA,16425.52805600858,
07-10,10743,568,1703.0,8472.0,11,1522.212571324933,120884.0,,5.287163734524807,84000011,USA,17128.469186637176,
07-11,10801,568,1717.0,8516.0,11,1530.4307905501817,124050.0,,5.258772335894824,84000011,USA,17577.070601587813,
07-12,10847,568,1737.0,8542.0,11,1536.9486885564133,126883.0,,5.236470913616668,84000011,USA,17978.488102710733,
07-13,10906,568,1756.0,8582.0,11,1545.3086012165795,130220.0,,5.2081423069869786,84000011,USA,18451.31909503237,
07-14,10946,568,1774.0,8604.0,11,1550.9763386133031,133916.0,,5.189110177233694,84000011,USA,18975.0180304896,
07-15,11026,571,1809.0,8646.0,11,1562.3118134067495,137944.0,,5.178668601487393,84000011,USA,19545.75918633962,
07-16,11076,574,1843.0,8659.0,11,1569.3964851526534,140242.0,,5.182376309136872,84000011,USA,19871.370699781368,
07-17,11115,577,1863.0,8675.0,11,1574.9225291144587,141607.0,,5.191183085919928,84000011,USA,20064.782238444543,
07-18,11194,578,1877.0,8739.0,11,1586.1163104729872,144955.0,,5.163480435947829,84000011,USA,20539.171858550282,
07-19,11261,578,1886.0,8797.0,11,1595.6097706124986,147765.0,,5.132759080010656,84000011,USA,20937.33041067008,
07-20,11339,579,1909.0,8851.0,11,1606.6618585361084,151740.0,,5.106270394214659,84000011,USA,21500.56181446945,
07-21,11427,580,1932.0,8915.0,11,1619.1308808088995,155711.0,,5.0756979084624145,84000011,USA,22063.226444529144,
07-22,11529,580,1974.0,8975.0,11,1633.5836111705435,159572.0,,5.030791916037818,84000011,USA,22610.304796747845,
07-23,11571,581,2020.0,8970.0,11,1639.5347354371027,162021.0,,5.021173623714459,84000011,USA,22957.31201886223,
